语言代码		国家/地区
af				公用荷兰语
af-ZA			公用荷兰语-南非
sq				阿尔巴尼亚
sq-AL			阿尔巴尼亚-阿尔巴尼亚
ar				阿拉伯语
ar-DZ			阿拉伯语-阿尔及利亚
ar-BH			阿拉伯语-巴林
ar-EG			阿拉伯语-埃及
ar-IQ			阿拉伯语-伊拉克
ar-JO			阿拉伯语-约旦
ar-KW			阿拉伯语-科威特
ar-LB			阿拉伯语-黎巴嫩
ar-LY			阿拉伯语-利比亚
ar-MA			阿拉伯语-摩洛哥
ar-OM			阿拉伯语-阿曼
ar-QA			阿拉伯语-卡塔尔
ar-SA			阿拉伯语-沙特阿拉伯
ar-SY			阿拉伯语-叙利亚共和国
ar-TN			阿拉伯语-北非的共和国
ar-AE			阿拉伯语-阿拉伯联合酋长国
ar-YE			阿拉伯语-也门
hy				亚美尼亚
hy-AM			亚美尼亚的-亚美尼亚
az				Azeri
az-AZ-Cyrl		Azeri-(西里尔字母的) 阿塞拜疆
az-AZ-Latn		Azeri(拉丁文)-阿塞拜疆
eu				巴斯克
eu-ES			巴斯克-巴斯克
be				Belarusian
be-BY			Belarusian-白俄罗斯
bg				保加利亚
bg-BG			保加利亚-保加利亚
ca				嘉泰罗尼亚
ca-ES			嘉泰罗尼亚-嘉泰罗尼亚
zh-HK			华-香港的 SAR
zh-MO			华-澳门的 SAR
zh-CN			华-中国
zh-CHS			华 (单一化)
zh-SG			华-新加坡
zh-TW			华-中国台湾
zh-CHT			华 (传统的)
hr				克罗埃西亚
hr-HR			克罗埃西亚-克罗埃西亚
cs				捷克
cs-CZ			捷克-捷克
da				丹麦文
da-DK			丹麦文-丹麦
div				Dhivehi
div-MV			Dhivehi-马尔代夫
nl				荷兰
nl-BE			荷兰-比利时
nl-NL			荷兰-荷兰
en				英国
en-AU			英国-澳洲
en-BZ			英国-伯利兹
en-CA			英国-加拿大
en-CB			英国-加勒比海
en-IE			英国-爱尔兰
en-JM			英国-牙买加
en-NZ			英国-新西兰
en-PH			英国-菲律宾共和国
en-ZA			英国-南非
en-TT			英国-千里达托贝哥共和国
en-GB			英国-英国
en-US			英国-美国
en-ZW			英国-津巴布韦
et				爱沙尼亚
et-EE			爱沙尼亚的-爱沙尼亚
fo				Faroese
fo-FO			Faroese-法罗群岛
fa				波斯语
fa-IR			波斯语-伊朗王国
